[!] loading: /tmp/.xxx-vmlinux-none
[!] loading: /tmp/.xxx-vmlinux-protector
t_start                                 :    1146555 vs    1149771 (diff = 3216)
t_stop                                  :    1146348 vs    1149564 (diff = 3216)
trace_module_notify                     :      60646 vs      61478 (diff = 832)
t_show                                  :      50326 vs      50998 (diff = 672)
probes_seq_show                         :      30694 vs      30742 (diff = 48)
profile_open                            :      30399 vs      30447 (diff = 48)
probes_open                             :      30444 vs      30492 (diff = 48)
probes_write                            :      30396 vs      30444 (diff = 48)
probes_profile_seq_show                 :      30511 vs      30559 (diff = 48)
find_get_context.isra.102               :        571 vs        559 (diff = -12)
put_page                                :      89803 vs      89867 (diff = 64)
trace_show                              :    6011415 vs    6035863 (diff = 24448)
exact_match                             :    1758758 vs    1767142 (diff = 8384)
base_probe                              :    1760972 vs    1769388 (diff = 8416)
exact_lock                              :    1759718 vs    1768134 (diff = 8416)
send_sigio                              :        223 vs        237 (diff = 14)
send_sigurg                             :        202 vs        223 (diff = 21)
init_once                               :    7628890 vs    7671962 (diff = 43072)
queue_io                                :    5485543 vs    5508647 (diff = 23104)
wait_for_space                          :    3297466 vs    3311546 (diff = 14080)
mpage_end_io                            :     500154 vs     502474 (diff = 2320)
total_mapping_size                      :      12237 vs      12365 (diff = 128)
set_brk                                 :      12246 vs      12374 (diff = 128)
writenote                               :      12316 vs      12439 (diff = 123)
make_kqid.isra.5.part.6                 :      11108 vs      11236 (diff = 128)
proc_single_open                        :      15271 vs      15783 (diff = 512)
seq_show                                :    6166031 vs    6195055 (diff = 29024)
ext4_es_is_delayed                      :      87836 vs      88060 (diff = 224)
ext4_es_is_delonly                      :      51611 vs      51755 (diff = 144)
reset_inode_seed                        :        112 vs        107 (diff = -5)
parse_options                           :     133096 vs     133752 (diff = 656)
setup                                   :       7494 vs       7510 (diff = 16)
param_set_portnr                        :    6583070 vs    6621502 (diff = 38432)
encode_netobj                           :      21950 vs      22110 (diff = 160)
decode_cookie                           :      22106 vs      22266 (diff = 160)
jhash                                   :    6789670 vs    6828998 (diff = 39328)
jhash2                                  :    5846918 vs    5878326 (diff = 31408)
user_destroy                            :      93198 vs      93998 (diff = 800)
user_read                               :      94685 vs      95485 (diff = 800)
selinux_socket_shutdown                 :         11 vs         14 (diff = 3)
setkey                                  :      11783 vs      11863 (diff = 80)
c_show                                  :    6159782 vs    6196006 (diff = 36224)
remove_id_store                         :    3069659 vs    3080763 (diff = 11104)
new_id_store                            :    3793991 vs    3809127 (diff = 15136)
modalias_show                           :    4108063 vs    4125727 (diff = 17664)
driver_override_store                   :    2049054 vs    2055966 (diff = 6912)
driver_override_show                    :    2048950 vs    2055862 (diff = 6912)
remove_store                            :    3077464 vs    3088712 (diff = 11248)
max_brightness_show                     :    3663468 vs    3678204 (diff = 14736)
brightness_show                         :    3663352 vs    3678088 (diff = 14736)
brightness_store                        :    3662382 vs    3677118 (diff = 14736)
show_rotate                             :      24956 vs      25116 (diff = 160)
show_name                               :    3344732 vs    3356924 (diff = 12192)
store_rotate                            :      24105 vs      24265 (diff = 160)
acpi_power_off                          :      55622 vs      56102 (diff = 480)
status_show                             :     738958 vs     742238 (diff = 3280)
description_show                        :    3141063 vs    3152215 (diff = 11152)
acpi_os_allocate_zeroed                 :      95879 vs      96179 (diff = 300)
acpi_os_allocate                        :      72204 vs      72464 (diff = 260)
acpi_release_mutex                      :         56 vs         60 (diff = 4)
acpi_processor_get_platform_limit       :       5358 vs       5390 (diff = 32)
show_status                             :    3313992 vs    3327176 (diff = 13184)
id_show                                 :    2884223 vs    2894239 (diff = 10016)
resources_show                          :    2517208 vs    2526568 (diff = 9360)
edid_show                               :     128348 vs     128780 (diff = 432)
reset_prepare                           :     338870 vs     339622 (diff = 752)
reset_finish                            :     335270 vs     336022 (diff = 752)
device_create_release                   :      25958 vs      25990 (diff = 32)
